Date,equal,holy_grail
2021-01-04,1.0,1.0
2021-01-05,1.0008028239336222,1.0
2021-01-06,0.9887086629350266,1.0
2021-01-07,0.9957051684126101,1.0
2021-01-08,1.0033509889868184,1.0
2021-01-11,1.0091807855262624,1.0
2021-01-12,0.9987645860907676,1.0
2021-01-13,1.0097207021076184,1.0
2021-01-14,1.0141790573292786,1.0
2021-01-15,0.9975585960766568,1.0
2021-01-18,0.993926134670349,1.0
2021-01-19,0.9981886396648251,1.0
2021-01-20,0.9723223394368153,1.0
2021-01-21,0.9793694846434241,1.0
2021-01-22,0.9877271050941214,1.0
2021-01-25,0.994817134642482,1.0
2021-01-26,0.9838048184749807,1.0
2021-01-27,0.9908231178991621,1.0
2021-01-28,0.9785363858187847,1.0
2021-01-29,0.9609607248047944,1.0
2021-02-01,0.9675937756207637,1.0
2021-02-02,0.9825341805353798,1.0
2021-02-03,0.9843076514260525,1.0
2021-02-04,0.9818588854496461,1.0
2021-02-05,0.9864917391391469,1.0
2021-02-17,1.0079597922065109,1.0
2021-02-18,1.016167846795132,1.0
2021-02-19,1.01851983319428,1.0
2021-02-22,1.0292790936710234,1.0
2021-02-23,1.0388885648785522,1.0
2021-02-24,1.0333477491724306,1.0
2021-02-25,1.0480672567253848,1.0
2021-02-26,1.0319208860390376,1.0
2021-03-02,1.0260675260450363,1.0
2021-03-03,1.0399314209490578,1.0
2021-03-04,1.0305029761986875,1.0
2021-03-05,1.0268216342521392,1.0
2021-03-08,1.0261670994841234,1.0
2021-03-09,1.0335389838315416,1.0
2021-03-10,1.0370509848042344,1.0
2021-03-11,1.0496946764983315,1.0
2021-03-12,1.0518071112407283,1.0
2021-03-15,1.0535769031443867,1.0
2021-03-16,1.0571311440564584,1.0
2021-03-17,1.054801812766754,1.0
2021-03-18,1.063355938598412,1.0
2021-03-19,1.0554478098716593,1.0
2021-03-22,1.0644270344960092,1.0
2021-03-23,1.0623943112458678,1.0
2021-03-24,1.064902580281303,1.0
2021-03-25,1.0675106855532501,1.0
2021-03-26,1.0787005871832265,1.0
2021-03-29,1.0897084308853056,1.0
2021-03-30,1.0973717773357328,1.0
2021-03-31,1.0977620788490272,1.0
2021-04-01,1.0981607839195608,1.0
2021-04-07,1.1108182833260498,1.0
2021-04-08,1.1176977510866324,1.0
2021-04-09,1.1138884438151773,1.0
2021-04-12,1.1241871059743305,1.0
2021-04-13,1.1182497491158985,1.0
2021-04-14,1.1186908072417288,0.9587602233822674
2021-04-15,1.1329080149885176,0.9736020364265578
2021-04-16,1.1506506760035122,1.0039479949910863
2021-04-19,1.1734152161797506,1.0738132077562081
2021-04-20,1.1772159686086605,1.0874152978238698
2021-04-21,1.1775187177174165,1.1862528826090804
2021-04-22,1.1680595478784732,1.1440102087999326
2021-04-23,1.1754097165164061,1.1341356485523637
2021-04-26,1.1927060391048283,1.2139669881891908
2021-04-27,1.196891779402333,1.2706907293839793
2021-04-28,1.2016178673918219,1.291424874637145
2021-04-29,1.1986850413500263,1.3512474413670188
2021-05-03,1.1809371461801257,1.4831291415090437
2021-05-04,1.1480435394295654,1.3443776438476442
2021-05-05,1.1489789727804718,1.4195680091933378
2021-05-06,1.156251160681611,1.4082003124997529
2021-05-07,1.172334216142188,1.5021962838758145
2021-05-10,1.1839645062538882,1.6511846038339897
2021-05-11,1.1392345467081966,1.6459042311798844
2021-05-12,1.081438841223063,1.48233624153949
2021-05-13,1.0703444941646432,1.3349475493366862
2021-05-14,1.077691283603017,1.2273905447402806
2021-05-17,1.035127456454504,1.1047390219658566
2021-05-18,1.0893626676108528,1.2142176409797876
2021-05-19,1.0942051231584802,1.3353077072938335
2021-05-20,1.0849767966309638,1.4265311543976524
2021-05-21,1.1013410306707776,1.5660138239930843
2021-05-24,1.1099404475360324,1.6526554188101648
2021-05-25,1.1204546722495756,1.577826180248253
2021-05-26,1.1241115326150097,1.7233228615079892
2021-05-27,1.1234081068941109,1.8440988186238596
2021-05-28,1.1415435839592378,1.9807353036483684
2021-05-31,1.1497347724219806,1.8694034911967734
2021-06-01,1.1609095092478539,2.0540641232403924
2021-06-02,1.163028832953173,2.0435898888368684
2021-06-03,1.170144249457361,2.0637841276006337
2021-06-04,1.16215122764361,2.0560502771760882
2021-06-07,1.1588073425036827,1.9638670621014747
2021-06-08,1.1602614320489095,2.1097085522342125
2021-06-09,1.1519918826361395,2.063924209732536
2021-06-10,1.1604929454232493,2.034643446179562
2021-06-11,1.1607748662157753,2.184452259999136
2021-06-15,1.1660293442439227,2.399139270418434
2021-06-16,1.1648005468480362,2.5103571817409174
2021-06-17,1.1713314115336195,2.6147909442824826
2021-06-18,1.1681256853402824,2.828643620035163
2021-06-21,1.1612406212528346,3.0542822754393675
2021-06-22,1.1660238721853005,3.0280086956129604
2021-06-23,1.1816972592646608,2.7302206940834717
2021-06-24,1.1901128163456236,2.9590921932818572
2021-06-25,1.196317660139693,3.1248226706547975
2021-06-28,1.203107249513927,3.4345532019107727
2021-06-29,1.1977177204317715,3.3887592975734377
2021-06-30,1.2063092321240398,3.7254538499410383
2021-07-01,1.200339954720873,3.950288048643536
2021-07-02,1.2031479463056418,3.844056752526522
2021-07-05,1.2185661806884007,3.7602088379201173
2021-07-06,1.220008326390227,3.908957588544273
2021-07-07,1.2187423844993204,3.721520144046981
2021-07-08,1.2236729132001147,3.964181767952183
2021-07-09,1.2117161215284922,3.5828424195117825
2021-07-12,1.2148538465877055,3.661013506966644
2021-07-13,1.2094743402432435,3.2966559485588087
2021-07-14,1.2062465943209377,3.14302188803485
2021-07-15,1.2180423486640848,3.452262034661095
2021-07-16,1.2251198115921464,3.5855353834885273
2021-07-19,1.2214296319253353,3.5855353834885273
2021-07-20,1.1996250450866262,3.258810702106796
2021-07-21,1.1930026142176258,2.958739865802979
2021-07-22,1.2001539520236084,2.958739865802979
2021-07-23,1.2040328599397339,2.939954215861373
2021-07-26,1.1976545108350591,2.883597266036554
2021-07-27,1.1886744436332934,2.8178474912409324
2021-07-28,1.1781033421279257,2.9117757409489635
2021-07-29,1.1932597579915236,3.0996322403650254
2021-07-30,1.1832785382758761,2.930561390890569
2021-08-02,1.1933976094353103,3.0808465904234192
2021-08-03,1.1939136325969057,3.3156672146934967
2021-08-04,1.199619075676559,3.4659524142263463
2021-08-05,1.1984196169431747,3.550487838963574
2021-08-06,1.19556356289316,3.550487838963574
2021-08-09,1.1898658298350293,3.6819873885548176
2021-08-10,1.1787466671256943,3.6068447887883925
2021-08-11,1.1716871308115262,3.6068447887883925
2021-08-12,1.1740909445573346,3.568677119065764
2021-08-13,1.1577190629802463,3.3873806878832786
2021-08-16,1.1405096068969556,3.3873806878832786
2021-08-17,1.1381996218071655,3.253793843854079
2021-08-18,1.1454547830104678,3.2824195961460503
2021-08-19,1.1185730351024263,3.1202069998248794
2021-08-20,1.1180589417850442,3.1202069998248794
2021-08-23,1.1381602095782375,3.1202069998248794
2021-08-24,1.1410817809554568,3.1202069998248794
